ID	単語	品詞	意味	コロケーション	和文	英文	英文穴埋め	タグ
w1334-1	begin	動詞	1. はじまる〔自動詞〕 / 2. ～をはじめる〔他動詞〕	begin with	まず軽いウォームアップから始めよう。	Let&#x27;s <strong>begin with</strong> a short warm-up.	"Let&#x27;s <span class=""blank"">_____ _____</span> a short warm-up."	品詞:動詞|単語:begin
w1334-2	begin	動詞	1. はじまる〔自動詞〕 / 2. ～をはじめる〔他動詞〕	begin to	帰り道に雨が降り始めた。	It <strong>began to</strong> rain on the way home.	"It <span class=""blank"">_____ _____</span> rain on the way home."	品詞:動詞|単語:begin
w1334-3	begin	動詞	1. はじまる〔自動詞〕 / 2. ～をはじめる〔他動詞〕	begin at	コンサートは7時に始まる。	The concert <strong>begins at</strong> seven o&#x27;clock.	"The concert <span class=""blank"">_____ _____</span> seven o&#x27;clock."	品詞:動詞|単語:begin
w1335-1	believe	動詞	～を信じる	believe in	いつも自分を信じてください。	Always <strong>believe in</strong> yourself.	"Always <span class=""blank"">_____ _____</span> yourself."	品詞:動詞|単語:believe
w1335-2	believe	動詞	～を信じる	hard to believe	彼がまだ12歳とは信じられない。	It&#x27;s <strong>hard to believe</strong> he is only twelve.	"It&#x27;s <span class=""blank"">_____ _____ _____</span> he is only twelve."	品詞:動詞|単語:believe
w1335-3	believe	動詞	～を信じる	believe that	親切であることはとても大切だと信じている。	I <strong>believe that</strong> kindness is very important.	"I <span class=""blank"">_____ _____</span> kindness is very important."	品詞:動詞|単語:believe
w1336-1	belong	動詞	〔belong to～の形で〕～の一員である	belong to	私はサッカー部に所属している。	I <strong>belong to</strong> the soccer club.	"I <span class=""blank"">_____ _____</span> the soccer club."	品詞:動詞|単語:belong
w1336-2	belong	動詞	〔belong to～の形で〕～の一員である	belong here	この本はここに置くものではない。	This book doesn&#x27;t <strong>belong here</strong>.	"This book doesn&#x27;t <span class=""blank"">_____ _____</span>."	品詞:動詞|単語:belong
w1336-3	belong	動詞	〔belong to～の形で〕～の一員である	belongs to me	あの赤いバッグは私のものです。	That red bag <strong>belongs to me</strong>.	"That red bag <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:belong
w1337-1	blow	動詞	1. （風が）ふく / 2. （人・動物などが息・水など）を吐く	blow strongly	今日は強い風が吹いている。	The wind is <strong>blowing strongly</strong> today.	"The wind is <span class=""blank"">_____ _____</span> today."	品詞:動詞|単語:blow
w1337-2	blow	動詞	1. （風が）ふく / 2. （人・動物などが息・水など）を吐く	blow out	彼女はケーキのろうそくを全部吹き消した。	She <strong>blew out</strong> all the candles on the cake.	"She <span class=""blank"">_____ _____</span> all the candles on the cake."	品詞:動詞|単語:blow
w1337-3	blow	動詞	1. （風が）ふく / 2. （人・動物などが息・水など）を吐く	blow away	帽子が風で飛ばされてしまった。	My hat <strong>blew away</strong> in the wind.	"My hat <span class=""blank"">_____ _____</span> in the wind."	品詞:動詞|単語:blow
w1338-1	blush	動詞	顔を赤らめる	blush with embarrassment	ミスをして、彼女は恥ずかしさで顔を赤らめた。	She <strong>blushed with embarrassment</strong> when she made a mistake.	"She <span class=""blank"">_____ _____ _____</span> when she made a mistake."	品詞:動詞|単語:blush
w1338-2	blush	動詞	顔を赤らめる	began to blush	みんなに見られて、彼は顔を赤らめ始めた。	He <strong>began to blush</strong> when everyone looked at him.	"He <span class=""blank"">_____ _____ _____</span> when everyone looked at him."	品詞:動詞|単語:blush
w1338-3	blush	動詞	顔を赤らめる	blush easily	私は大勢の前だとすぐ顔が赤くなる。	I <strong>blush easily</strong> in front of many people.	"I <span class=""blank"">_____ _____</span> in front of many people."	品詞:動詞|単語:blush
w1339-1	boil	動詞	～をゆでる、沸騰させる	boil water	お茶のためにお湯を沸かしてください。	Please <strong>boil</strong> some water for the tea.	"Please <span class=""blank"">_____</span> some water for the tea."	品詞:動詞|単語:boil
w1339-2	boil	動詞	～をゆでる、沸騰させる	boil an egg	朝食にゆで卵を作った。	I <strong>boiled an egg</strong> for breakfast.	"I <span class=""blank"">_____ _____ _____</span> for breakfast."	品詞:動詞|単語:boil
w1339-3	boil	動詞	～をゆでる、沸騰させる	bring to a boil	強火でスープを沸騰させてください。	Bring the soup to a <strong>boil</strong> over high heat.	"Bring the soup to a <span class=""blank"">_____</span> over high heat."	品詞:動詞|単語:boil
w1340-1	born	動詞	〔be bornの形で〕 誕生する、生まれる	was born in	彼女は2010年に京都で生まれた。	She <strong>was born in</strong> Kyoto in 2010.	"She <span class=""blank"">_____ _____ _____</span> Kyoto in 2010."	品詞:動詞|単語:born
w1340-2	born	動詞	〔be bornの形で〕 誕生する、生まれる	was born on	彼は寒い冬の日に生まれた。	He <strong>was born on</strong> a cold winter day.	"He <span class=""blank"">_____ _____ _____</span> a cold winter day."	品詞:動詞|単語:born
w1340-3	born	動詞	〔be bornの形で〕 誕生する、生まれる	born and raised	私はこの町で生まれ育った。	I was <strong>born and raised</strong> in this town.	"I was <span class=""blank"">_____ _____ _____</span> in this town."	品詞:動詞|単語:born
w1341-1	borrow	動詞	～を借りる	borrow a book	図書館から本を借りてもいいですか？	Can I <strong>borrow a book</strong> from the library?	"Can I <span class=""blank"">_____ _____ _____</span> from the library?"	品詞:動詞|単語:borrow
w1341-2	borrow	動詞	～を借りる	borrow money	彼は友達からお金を借りた。	He <strong>borrowed money</strong> from his friend.	"He <span class=""blank"">_____ _____</span> from his friend."	品詞:動詞|単語:borrow
w1341-3	borrow	動詞	～を借りる	borrow an umbrella	雨が降っていたので、彼女は傘を借りた。	She <strong>borrowed an umbrella</strong> because it was raining.	"She <span class=""blank"">_____ _____ _____</span> because it was raining."	品詞:動詞|単語:borrow
w1342-1	bother	動詞	じゃまをする	bother me	勉強中は邪魔しないでください。	Please don&#x27;t <strong>bother me</strong> while I&#x27;m studying.	"Please don&#x27;t <span class=""blank"">_____ _____</span> while I&#x27;m studying."	品詞:動詞|単語:bother
w1342-2	bother	動詞	じゃまをする	bother to	彼は部屋を片付けようともしなかった。	He didn&#x27;t <strong>bother to</strong> clean his room.	"He didn&#x27;t <span class=""blank"">_____ _____</span> clean his room."	品詞:動詞|単語:bother
w1342-3	bother	動詞	じゃまをする	bother anyone	私の問題でご迷惑をおかけしてすみません。	I&#x27;m sorry to <strong>bother anyone</strong> with my problem.	"I&#x27;m sorry to <span class=""blank"">_____ _____</span> with my problem."	品詞:動詞|単語:bother
w1343-1	break	動詞	～をこわす、折る、破る	break a promise	約束は絶対に破ってはいけません。	You should never <strong>break a promise</strong>.	"You should never <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:break
w1343-2	break	動詞	～をこわす、折る、破る	break a record	彼女は水泳大会で記録を破った。	She <strong>broke a record</strong> at the swimming meet.	"She <span class=""blank"">_____ _____ _____</span> at the swimming meet."	品詞:動詞|単語:break
w1343-3	break	動詞	～をこわす、折る、破る	break a window	ボールが体育館の窓を割った。	The ball <strong>broke a window</strong> in the gym.	"The ball <span class=""blank"">_____ _____ _____</span> in the gym."	品詞:動詞|単語:break
w1344-1	bring	動詞	《向こうからこちらへ》 ～を持ってくる、つれてくる	bring a lunch	ピクニックにお弁当を持ってきてください。	Please <strong>bring a lunch</strong> to the picnic.	"Please <span class=""blank"">_____ _____ _____</span> to the picnic."	品詞:動詞|単語:bring
w1344-2	bring	動詞	《向こうからこちらへ》 ～を持ってくる、つれてくる	bring back	この歌は楽しい思い出を呼び起こしてくれる。	This song <strong>brings back</strong> happy memories.	"This song <span class=""blank"">_____ _____</span> happy memories."	品詞:動詞|単語:bring
w1344-3	bring	動詞	《向こうからこちらへ》 ～を持ってくる、つれてくる	bring a friend	パーティーに友達を連れてきてもいいですよ。	You can <strong>bring a friend</strong> to the party.	"You can <span class=""blank"">_____ _____ _____</span> to the party."	品詞:動詞|単語:bring
w1345-1	broaden	動詞	～を広くする、広げる	broaden your horizons	旅は視野を広げてくれます。	Travel can <strong>broaden your horizons</strong>.	"Travel can <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:broaden
w1345-2	broaden	動詞	～を広くする、広げる	broaden your knowledge	読書は知識を広げるのに役立ちます。	Reading books helps <strong>broaden your knowledge</strong>.	"Reading books helps <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:broaden
w1345-3	broaden	動詞	～を広くする、広げる	broaden your mind	新しい言語を学ぶと視野が広がります。	Learning a new language can <strong>broaden your mind</strong>.	"Learning a new language can <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:broaden
w1346-1	brush	動詞	（ブラシで）みがく	brush your teeth	毎食後に歯を磨くべきです。	You should <strong>brush your teeth</strong> after every meal.	"You should <span class=""blank"">_____ _____ _____</span> after every meal."	品詞:動詞|単語:brush
w1346-2	brush	動詞	（ブラシで）みがく	brush your hair	彼女は学校に行く前に髪をとかした。	She <strong>brushed</strong> her hair before going to school.	"She <span class=""blank"">_____</span> her hair before going to school."	品詞:動詞|単語:brush
w1346-3	brush	動詞	（ブラシで）みがく	brush off	彼はコートの雪を払い落とした。	He <strong>brushed</strong> the snow off his coat.	"He <span class=""blank"">_____</span> the snow off his coat."	品詞:動詞|単語:brush
w1347-1	build	動詞	～を建てる、～を築き上げる	build a house	彼らは川のそばに家を建てた。	They <strong>built a house</strong> near the river.	"They <span class=""blank"">_____ _____ _____</span> near the river."	品詞:動詞|単語:build
w1347-2	build	動詞	～を建てる、～を築き上げる	build confidence	練習を重ねると自信がつきます。	Practice can help you <strong>build confidence</strong>.	"Practice can help you <span class=""blank"">_____ _____</span>."	品詞:動詞|単語:build
w1347-3	build	動詞	～を建てる、～を築き上げる	build a relationship	良い関係を築くには時間がかかります。	It takes time to <strong>build</strong> a good relationship.	"It takes time to <span class=""blank"">_____</span> a good relationship."	品詞:動詞|単語:build
w1348-1	burn	動詞	～を燃やす	burn calories	ランニングはカロリーを燃やすのに最適です。	Running is a great way to <strong>burn calories</strong>.	"Running is a great way to <span class=""blank"">_____ _____</span>."	品詞:動詞|単語:burn
w1348-2	burn	動詞	～を燃やす	burn down	昨夜、古い建物が全焼した。	The old building <strong>burned down</strong> last night.	"The old building <span class=""blank"">_____ _____</span> last night."	品詞:動詞|単語:burn
w1348-3	burn	動詞	～を燃やす	burn wood	彼らは冬に暖を取るために木を燃やした。	They <strong>burned wood</strong> to stay warm in winter.	"They <span class=""blank"">_____ _____</span> to stay warm in winter."	品詞:動詞|単語:burn
w1349-1	bury	動詞	埋める	bury a treasure	海賊は島に宝を埋めた。	The pirate <strong>buried a treasure</strong> on the island.	"The pirate <span class=""blank"">_____ _____ _____</span> on the island."	品詞:動詞|単語:bury
w1349-2	bury	動詞	埋める	bury yourself in	彼女は毎晩勉強に没頭した。	She <strong>buried</strong> herself in her studies every night.	"She <span class=""blank"">_____</span> herself in her studies every night."	品詞:動詞|単語:bury
w1349-3	bury	動詞	埋める	bury the past	過去を忘れて前に進むことが大切です。	It&#x27;s important to <strong>bury the past</strong> and move on.	"It&#x27;s important to <span class=""blank"">_____ _____ _____</span> and move on."	品詞:動詞|単語:bury
w1350-1	buy	動詞	～を買う	buy a ticket	コンサートのチケットを買わなければなりません。	I need to <strong>buy a ticket</strong> for the concert.	"I need to <span class=""blank"">_____ _____ _____</span> for the concert."	品詞:動詞|単語:buy
w1350-2	buy	動詞	～を買う	buy online	最近はオンラインで買い物をする人が多い。	Many people <strong>buy</strong> things online these days.	"Many people <span class=""blank"">_____</span> things online these days."	品詞:動詞|単語:buy
w1350-3	buy	動詞	～を買う	buy a gift	彼はお母さんの誕生日にプレゼントを買った。	He <strong>bought a gift</strong> for his mother&#x27;s birthday.	"He <span class=""blank"">_____ _____ _____</span> for his mother&#x27;s birthday."	品詞:動詞|単語:buy
w1351-1	call	動詞	1. （大声で）呼ぶ / 2. ～を呼び寄せる 　 / 3. 電話をかける / 4. 〔call A B の形で〕 ＡをＢと呼ぶ、名づける / 5. [call ～ backの形で] ～におりかえし電話する	call for help	迷子になったとき、彼女は助けを求めて叫んだ。	She <strong>called for help</strong> when she got lost.	"She <span class=""blank"">_____ _____ _____</span> when she got lost."	品詞:動詞|単語:call
w1351-2	call	動詞	1. （大声で）呼ぶ / 2. ～を呼び寄せる 　 / 3. 電話をかける / 4. 〔call A B の形で〕 ＡをＢと呼ぶ、名づける / 5. [call ～ backの形で] ～におりかえし電話する	call out	先生は生徒一人一人の名前を呼び上げた。	The teacher <strong>called out</strong> each student&#x27;s name.	"The teacher <span class=""blank"">_____ _____</span> each student&#x27;s name."	品詞:動詞|単語:call
w1351-3	call	動詞	1. （大声で）呼ぶ / 2. ～を呼び寄せる 　 / 3. 電話をかける / 4. 〔call A B の形で〕 ＡをＢと呼ぶ、名づける / 5. [call ～ backの形で] ～におりかえし電話する	call the dog	彼は犬を呼んだが、来なかった。	He <strong>called the dog</strong>, but it didn&#x27;t come.	"He <span class=""blank"">_____ _____ _____</span>, but it didn&#x27;t come."	品詞:動詞|単語:call
w1352-1	calm	動詞	静まる、落ち着く	calm down	深呼吸して、落ち着いてください。	Take a deep breath and <strong>calm down</strong>.	"Take a deep breath and <span class=""blank"">_____ _____</span>."	品詞:動詞|単語:calm
w1352-2	calm	動詞	静まる、落ち着く	calm yourself	彼女はスピーチの前に気持ちを落ち着かせようとした。	She tried to <strong>calm</strong> herself before the speech.	"She tried to <span class=""blank"">_____</span> herself before the speech."	品詞:動詞|単語:calm
w1352-3	calm	動詞	静まる、落ち着く	calm the situation	先生がすぐに状況を落ち着かせた。	The teacher helped <strong>calm the situation</strong> quickly.	"The teacher helped <span class=""blank"">_____ _____ _____</span> quickly."	品詞:動詞|単語:calm
w1353-1	camp	動詞	キャンプ（生活）する	go camping	私たちの家族は夏にキャンプに行くのが好きです。	Our family likes to <strong>go camping</strong> in summer.	"Our family likes to <span class=""blank"">_____ _____</span> in summer."	品詞:動詞|単語:camp
w1353-2	camp	動詞	キャンプ（生活）する	camp in the mountains	私たちは山で2泊キャンプをした。	We <strong>camped in the mountains</strong> for two nights.	"We <span class=""blank"">_____ _____ _____ _____</span> for two nights."	品詞:動詞|単語:camp
w1353-3	camp	動詞	キャンプ（生活）する	camp by the river	彼らは川のそばでキャンプをして魚を釣った。	They <strong>camped by the river</strong> and caught fish.	"They <span class=""blank"">_____ _____ _____ _____</span> and caught fish."	品詞:動詞|単語:camp
w1354-1	care	動詞	[care for ～の形で]　～の世話をする	care for the elderly	彼女は毎週ボランティアでお年寄りの世話をしています。	She volunteers to <strong>care for the elderly</strong> every week.	"She volunteers to <span class=""blank"">_____ _____ _____ _____</span> every week."	品詞:動詞|単語:care
w1354-2	care	動詞	[care for ～の形で]　～の世話をする	care for animals	動物を適切に世話することが大切です。	It is important to <strong>care for animals</strong> properly.	"It is important to <span class=""blank"">_____ _____ _____</span> properly."	品詞:動詞|単語:care
w1354-3	care	動詞	[care for ～の形で]　～の世話をする	care for a sick friend	彼は病気の友達の世話をするために家にいた。	He stayed home to <strong>care</strong> for a sick friend.	"He stayed home to <span class=""blank"">_____</span> for a sick friend."	品詞:動詞|単語:care
w1355-1	carry	動詞	運ぶ、持って行く、持ち歩く	carry a bag	彼女は毎日重いかばんを学校に持って行った。	She <strong>carried</strong> a heavy bag to school every day.	"She <span class=""blank"">_____</span> a heavy bag to school every day."	品詞:動詞|単語:carry
w1355-2	carry	動詞	運ぶ、持って行く、持ち歩く	carry out	生徒たちは理科の実験を行った。	The students <strong>carried out</strong> the science experiment.	"The students <span class=""blank"">_____ _____</span> the science experiment."	品詞:動詞|単語:carry
w1355-3	carry	動詞	運ぶ、持って行く、持ち歩く	carry on	静かに作業を続けてください。	Please <strong>carry on</strong> with your work quietly.	"Please <span class=""blank"">_____ _____</span> with your work quietly."	品詞:動詞|単語:carry
w1356-1	catch	動詞	～をとらえる、つかまえる	catch a cold	雨の中で遊んだ後、風邪をひいた。	I <strong>caught a cold</strong> after playing in the rain.	"I <span class=""blank"">_____ _____ _____</span> after playing in the rain."	品詞:動詞|単語:catch
w1356-2	catch	動詞	～をとらえる、つかまえる	catch a bus	最終バスに乗るために全力で走った。	We ran fast to <strong>catch</strong> the last bus.	"We ran fast to <span class=""blank"">_____</span> the last bus."	品詞:動詞|単語:catch
w1356-3	catch	動詞	～をとらえる、つかまえる	catch a fish	彼は湖で大きな魚を釣った。	He <strong>caught</strong> a big fish in the lake.	"He <span class=""blank"">_____</span> a big fish in the lake."	品詞:動詞|単語:catch
w1357-1	cause	動詞	～を引き起こす、～の原因となる	cause problems	嘘をつくと問題が増えるだけです。	Lying only <strong>causes</strong> more problems.	"Lying only <span class=""blank"">_____</span> more problems."	品詞:動詞|単語:cause
w1357-2	cause	動詞	～を引き起こす、～の原因となる	cause damage	嵐は町に深刻な被害をもたらした。	The storm <strong>caused</strong> serious damage to the town.	"The storm <span class=""blank"">_____</span> serious damage to the town."	品詞:動詞|単語:cause
w1357-3	cause	動詞	～を引き起こす、～の原因となる	cause an accident	不注意な運転は事故を引き起こすことがあります。	Careless driving can <strong>cause an accident</strong>.	"Careless driving can <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:cause
w1358-1	celebrate	動詞	～を祝う	celebrate a birthday	私たちは大きなケーキで彼女の誕生日を祝った。	We <strong>celebrated</strong> her birthday with a big cake.	"We <span class=""blank"">_____</span> her birthday with a big cake."	品詞:動詞|単語:celebrate
w1358-2	celebrate	動詞	～を祝う	celebrate New Year	私たちの家族は集まって一緒に新年を祝います。	Our family gathers to <strong>celebrate New Year</strong> together.	"Our family gathers to <span class=""blank"">_____ _____ _____</span> together."	品詞:動詞|単語:celebrate
w1358-3	celebrate	動詞	～を祝う	celebrate a victory	チームは歓声を上げて勝利を祝った。	The team <strong>celebrated</strong> their victory with a cheer.	"The team <span class=""blank"">_____</span> their victory with a cheer."	品詞:動詞|単語:celebrate
w1359-1	change	動詞	1. 変わる〔自動詞〕 / 2. ～を変える 〔他動詞〕 / 3. （電車など） を乗り換える	change completely	その町は10年で完全に変わってしまった。	The town has <strong>changed completely</strong> over ten years.	"The town has <span class=""blank"">_____ _____</span> over ten years."	品詞:動詞|単語:change
w1359-2	change	動詞	1. 変わる〔自動詞〕 / 2. ～を変える 〔他動詞〕 / 3. （電車など） を乗り換える	change for the better	キャンプの後、彼女の態度は良い方向に変わった。	Her attitude <strong>changed for the better</strong> after camp.	"Her attitude <span class=""blank"">_____ _____ _____ _____</span> after camp."	品詞:動詞|単語:change
w1359-3	change	動詞	1. 変わる〔自動詞〕 / 2. ～を変える 〔他動詞〕 / 3. （電車など） を乗り換える	change over time	季節は一年を通じて時とともに変わっていく。	Seasons <strong>change over time</strong> throughout the year.	"Seasons <span class=""blank"">_____ _____ _____</span> throughout the year."	品詞:動詞|単語:change
w1360-1	check	動詞	～を調べる、チェックする、確認する、照合する	check your answers	テストを提出する前に必ず答えを確認しましょう。	Always <strong>check your answers</strong> before handing in the test.	"Always <span class=""blank"">_____ _____ _____</span> before handing in the test."	品詞:動詞|単語:check
w1360-2	check	動詞	～を調べる、チェックする、確認する、照合する	check in	私たちは朝早くにホテルにチェックインした。	We <strong>checked in</strong> at the hotel early in the morning.	"We <span class=""blank"">_____ _____</span> at the hotel early in the morning."	品詞:動詞|単語:check
w1360-3	check	動詞	～を調べる、チェックする、確認する、照合する	check the weather	外出前は必ず天気を確認します。	I always <strong>check the weather</strong> before going out.	"I always <span class=""blank"">_____ _____ _____</span> before going out."	品詞:動詞|単語:check
w1361-1	cheer	動詞	～を元気づける、声援を送る、応援する、励ます	cheered for	試合で私たちはチームに声援を送った。	We <strong>cheered for</strong> our team at the game.	"We <span class=""blank"">_____ _____</span> our team at the game."	品詞:動詞|単語:cheer
w1361-2	cheer	動詞	～を元気づける、声援を送る、応援する、励ます	cheered me up	彼女の笑顔がすぐに私を元気づけてくれた。	Her smile <strong>cheered me up</strong> right away.	"Her smile <span class=""blank"">_____ _____ _____</span> right away."	品詞:動詞|単語:cheer
w1361-3	cheer	動詞	～を元気づける、声援を送る、応援する、励ます	cheered loudly	彼が得点すると観客が大きな歓声を上げた。	The crowd <strong>cheered loudly</strong> when he scored.	"The crowd <span class=""blank"">_____ _____</span> when he scored."	品詞:動詞|単語:cheer
w1362-1	choose	動詞	～を選ぶ	choose from	たくさんの色の中から選ぶことができます。	You can <strong>choose from</strong> many different colors.	"You can <span class=""blank"">_____ _____</span> many different colors."	品詞:動詞|単語:choose
w1362-2	choose	動詞	～を選ぶ	chose to study	彼女は来年留学することを選んだ。	She <strong>chose to study</strong> abroad next year.	"She <span class=""blank"">_____ _____ _____</span> abroad next year."	品詞:動詞|単語:choose
w1362-3	choose	動詞	～を選ぶ	carefully chose	彼は慎重に適切な言葉を選んだ。	He <strong>carefully chose</strong> the right words.	"He <span class=""blank"">_____ _____</span> the right words."	品詞:動詞|単語:choose
w1363-1	clap	動詞	（手を）たたく、拍手する	clapped their hands	スピーチの後、みんなが拍手した。	Everyone <strong>clapped their hands</strong> after the speech.	"Everyone <span class=""blank"">_____ _____ _____</span> after the speech."	品詞:動詞|単語:clap
w1363-2	clap	動詞	（手を）たたく、拍手する	clap along with	観客は音楽に合わせて手拍子を始めた。	The audience began to <strong>clap along with</strong> the music.	"The audience began to <span class=""blank"">_____ _____ _____</span> the music."	品詞:動詞|単語:clap
w1363-3	clap	動詞	（手を）たたく、拍手する	clapped loudly	出演者たちに大きな拍手を送った。	We <strong>clapped loudly</strong> for the performers.	"We <span class=""blank"">_____ _____</span> for the performers."	品詞:動詞|単語:clap
w1364-1	clean	動詞	～をきれいにする、そうじする	clean my room	私は毎週土曜日の朝、自分の部屋を掃除する。	I <strong>clean my room</strong> every Saturday morning.	"I <span class=""blank"">_____ _____ _____</span> every Saturday morning."	品詞:動詞|単語:clean
w1364-2	clean	動詞	～をきれいにする、そうじする	clean up	料理が終わったら後片付けをしてください。	Please <strong>clean up</strong> after you finish cooking.	"Please <span class=""blank"">_____ _____</span> after you finish cooking."	品詞:動詞|単語:clean
w1364-3	clean	動詞	～をきれいにする、そうじする	cleaned the park	クラスの活動として公園を清掃した。	We <strong>cleaned the park</strong> as a class activity.	"We <span class=""blank"">_____ _____ _____</span> as a class activity."	品詞:動詞|単語:clean
w1365-1	climb	動詞	（高いところ） に登る、よじ登る	climbed to the top	私たちは山の頂上まで登った。	We <strong>climbed to the top</strong> of the mountain.	"We <span class=""blank"">_____ _____ _____ _____</span> of the mountain."	品詞:動詞|単語:climb
w1365-2	climb	動詞	（高いところ） に登る、よじ登る	climbed up	彼は慎重にはしごを登った。	He <strong>climbed up</strong> the ladder carefully.	"He <span class=""blank"">_____ _____</span> the ladder carefully."	品詞:動詞|単語:climb
w1365-3	climb	動詞	（高いところ） に登る、よじ登る	climb trees	彼女は公園で木登りをするのが大好きだ。	She loves to <strong>climb trees</strong> in the park.	"She loves to <span class=""blank"">_____ _____</span> in the park."	品詞:動詞|単語:climb
w1366-1	close	動詞	（窓、ドアなど） を閉める、閉じる、閉まる	close the door	出るときはドアを閉めてください。	Please <strong>close the door</strong> when you leave.	"Please <span class=""blank"">_____ _____ _____</span> when you leave."	品詞:動詞|単語:close
w1366-2	close	動詞	（窓、ドアなど） を閉める、閉じる、閉まる	closes at	その店は毎晩9時に閉まる。	The store <strong>closes at</strong> nine every night.	"The store <span class=""blank"">_____ _____</span> nine every night."	品詞:動詞|単語:close
w1366-3	close	動詞	（窓、ドアなど） を閉める、閉じる、閉まる	closed her eyes	彼女は目を閉じて深呼吸をした。	She <strong>closed her eyes</strong> and took a deep breath.	"She <span class=""blank"">_____ _____ _____</span> and took a deep breath."	品詞:動詞|単語:close
w1367-1	collect	動詞	（～を）集める、収集する	collects stamps	彼は世界各地の切手を集めている。	He <strong>collects stamps</strong> from around the world.	"He <span class=""blank"">_____ _____</span> from around the world."	品詞:動詞|単語:collect
w1367-2	collect	動詞	（～を）集める、収集する	collected information	レポートのために情報を集めた。	We <strong>collected information</strong> for our report.	"We <span class=""blank"">_____ _____</span> for our report."	品詞:動詞|単語:collect
w1367-3	collect	動詞	（～を）集める、収集する	collected trash	生徒たちは近所でゴミを拾い集めた。	Students <strong>collected trash</strong> in the neighborhood.	"Students <span class=""blank"">_____ _____</span> in the neighborhood."	品詞:動詞|単語:collect
w1368-1	come	動詞	1. 来る　〔come and ～ の形で〕 ～しに来る 〔come to school の形で〕 学校に来る 〔come back の形で〕 戻ってくる / 2. (相手のいる所へ・相手と同方向へ) 行く / 3. (時・季節などが) 巡ってくる / 4. 〔Come on.の形で〕 さあ急げ、さあ / 5. 〔come from～ の形で〕 ～から来ている、～出身である　 〔過去分詞形もcome〕 / 6. [～の状態に]なる　〔come trueの形で〕実現する	Come and see	私の新しい自転車を見に来て！	<strong>Come and see</strong> my new bicycle!	"<span class=""blank"">_____ _____ _____</span> my new bicycle!"	品詞:動詞|単語:come
w1368-2	come	動詞	1. 来る　〔come and ～ の形で〕 ～しに来る 〔come to school の形で〕 学校に来る 〔come back の形で〕 戻ってくる / 2. (相手のいる所へ・相手と同方向へ) 行く / 3. (時・季節などが) 巡ってくる / 4. 〔Come on.の形で〕 さあ急げ、さあ / 5. 〔come from～ の形で〕 ～から来ている、～出身である　 〔過去分詞形もcome〕 / 6. [～の状態に]なる　〔come trueの形で〕実現する	come true	一生懸命努力すれば夢は実現できる。	Dreams can <strong>come true</strong> if you work hard.	"Dreams can <span class=""blank"">_____ _____</span> if you work hard."	品詞:動詞|単語:come
w1368-3	come	動詞	1. 来る　〔come and ～ の形で〕 ～しに来る 〔come to school の形で〕 学校に来る 〔come back の形で〕 戻ってくる / 2. (相手のいる所へ・相手と同方向へ) 行く / 3. (時・季節などが) 巡ってくる / 4. 〔Come on.の形で〕 さあ急げ、さあ / 5. 〔come from～ の形で〕 ～から来ている、～出身である　 〔過去分詞形もcome〕 / 6. [～の状態に]なる　〔come trueの形で〕実現する	came back	彼女は夕食前に家に帰ってきた。	She <strong>came back</strong> home before dinner.	"She <span class=""blank"">_____ _____</span> home before dinner."	品詞:動詞|単語:come
w1369-1	communicate	動詞	(知識・情報・人の気持ちなど) を伝える、意思を伝え合う	communicate with each other	お互いに意思を伝え合うことが大切だ。	It is important to <strong>communicate with each other</strong>.	"It is important to <span class=""blank"">_____ _____ _____ _____</span>."	品詞:動詞|単語:communicate
w1369-2	communicate	動詞	(知識・情報・人の気持ちなど) を伝える、意思を伝え合う	communicate her feelings	彼女はジェスチャーで気持ちを伝えた。	She used gestures to <strong>communicate her feelings</strong>.	"She used gestures to <span class=""blank"">_____ _____ _____</span>."	品詞:動詞|単語:communicate
w1369-3	communicate	動詞	(知識・情報・人の気持ちなど) を伝える、意思を伝え合う	communicate across the world	英語のおかげで世界中の人と意思疎通ができる。	English helps us <strong>communicate across the world</strong>.	"English helps us <span class=""blank"">_____ _____ _____ _____</span>."	品詞:動詞|単語:communicate
w1370-1	compare	動詞	比較する、比べる	compare prices	買う前に値段を比べてみよう。	Let&#x27;s <strong>compare prices</strong> before we buy.	"Let&#x27;s <span class=""blank"">_____ _____</span> before we buy."	品詞:動詞|単語:compare
w1370-2	compare	動詞	比較する、比べる	compared her answers with	彼女は友達の答えと自分のを比較した。	She <strong>compared her answers with</strong> her friend&#x27;s.	"She <span class=""blank"">_____ _____ _____ _____</span> her friend&#x27;s."	品詞:動詞|単語:compare
w1370-3	compare	動詞	比較する、比べる	Compare the two	2枚の絵を見比べて違いを見つけなさい。	<strong>Compare the two</strong> pictures and find the differences.	"<span class=""blank"">_____ _____ _____</span> pictures and find the differences."	品詞:動詞|単語:compare
w1371-1	complain	動詞	不平を言う	complains about	彼はいつも寒い天気について不平を言う。	He always <strong>complains about</strong> the cold weather.	"He always <span class=""blank"">_____ _____</span> the cold weather."	品詞:動詞|単語:complain
